"@P0 LOP32I.PASS_B R0, R0, 0x0.INV",0x0560000000000000
"@P0 LOP32I.PASS_B R0.CC, R0, 0x0.INV",0x0570000000000000
"@P0 LOP32I.AND R0, ~R0, 0x0.INV",0x0580000000000000
"@P0 LOP32I.AND R0.CC, ~R0, 0x0.INV",0x0590000000000000
"@P0 LOP32I.OR R0, ~R0, 0x0.INV",0x05a0000000000000
"@P0 LOP32I.OR R0.CC, ~R0, 0x0.INV",0x05b0000000000000
"@P0 LOP32I.XOR R0, ~R0, 0x0.INV",0x05c0000000000000
"@P0 LOP32I.XOR R0.CC, ~R0, 0x0.INV",0x05d0000000000000
"@P0 LOP32I.PASS_B R0, ~R0, 0x0.INV",0x05e0000000000000
"@P0 LOP32I.PASS_B R0.CC, ~R0, 0x0.INV",0x05f0000000000000
"@P0 LOP32I.AND.X R0, R0, 0x0",0x0600000000000000
"@P0 LOP32I.AND.X R0.CC, R0, 0x0",0x0610000000000000
"@P0 LOP32I.OR.X R0, R0, 0x0",0x0620000000000000
"@P0 LOP32I.OR.X R0.CC, R0, 0x0",0x0630000000000000
"@P0 LOP32I.XOR.X R0, R0, 0x0",0x0640000000000000
"@P0 LOP32I.XOR.X R0.CC, R0, 0x0",0x0650000000000000
"@P0 LOP32I.PASS_B.X R0, R0, 0x0",0x0660000000000000
"@P0 LOP32I.PASS_B.X R0.CC, R0, 0x0",0x0670000000000000
"@P0 LOP32I.AND.X R0, ~R0, 0x0",0x0680000000000000
"@P0 LOP32I.AND.X R0.CC, ~R0, 0x0",0x0690000000000000
"@P0 LOP32I.OR.X R0, ~R0, 0x0",0x06a0000000000000
"@P0 LOP32I.OR.X R0.CC, ~R0, 0x0",0x06b0000000000000
"@P0 LOP32I.XOR.X R0, ~R0, 0x0",0x06c0000000000000
"@P0 LOP32I.XOR.X R0.CC, ~R0, 0x0",0x06d0000000000000
"@P0 LOP32I.PASS_B.X R0, ~R0, 0x0",0x06e0000000000000
"@P0 LOP32I.PASS_B.X R0.CC, ~R0, 0x0",0x06f0000000000000
"@P0 LOP32I.AND.X R0, R0, 0x0.INV",0x0700000000000000
"@P0 LOP32I.AND.X R0.CC, R0, 0x0.INV",0x0710000000000000
"@P0 LOP32I.OR.X R0, R0, 0x0.INV",0x0720000000000000
"@P0 LOP32I.OR.X R0.CC, R0, 0x0.INV",0x0730000000000000
"@P0 LOP32I.XOR.X R0, R0, 0x0.INV",0x0740000000000000
"@P0 LOP32I.XOR.X R0.CC, R0, 0x0.INV",0x0750000000000000
"@P0 LOP32I.PASS_B.X R0, R0, 0x0.INV",0x0760000000000000
"@P0 LOP32I.PASS_B.X R0.CC, R0, 0x0.INV",0x0770000000000000
"@P0 LOP32I.AND.X R0, ~R0, 0x0.INV",0x0780000000000000
"@P0 LOP32I.AND.X R0.CC, ~R0, 0x0.INV",0x0790000000000000
"@P0 LOP32I.OR.X R0, ~R0, 0x0.INV",0x07a0000000000000
"@P0 LOP32I.OR.X R0.CC, ~R0, 0x0.INV",0x07b0000000000000
"@P0 LOP32I.XOR.X R0, ~R0, 0x0.INV",0x07c0000000000000
"@P0 LOP32I.XOR.X R0.CC, ~R0, 0x0.INV",0x07d0000000000000
"@P0 LOP32I.PASS_B.X R0, ~R0, 0x0.INV",0x07e0000000000000
"@P0 LOP32I.PASS_B.X R0.CC, ~R0, 0x0.INV",0x07f0000000000000
"@P0 FADD32I R0, R0, 0",0x0800000000000000
"@P0 FADD32I R0.CC, R0, 0",0x0810000000000000
"@P0 FADD32I R0, R0, 0.NEG",0x0820000000000000
"@P0 FADD32I R0.CC, R0, 0.NEG",0x0830000000000000
"@P0 FADD32I R0, |R0|, 0",0x0840000000000000
"@P0 FADD32I R0.CC, |R0|, 0",0x0850000000000000
"@P0 FADD32I R0, |R0|, 0.NEG",0x0860000000000000
"@P0 FADD32I R0.CC, |R0|, 0.NEG",0x0870000000000000
"@P0 FADD32I.FTZ R0, R0, 0",0x0880000000000000
"@P0 FADD32I.FTZ R0.CC, R0, 0",0x0890000000000000
"@P0 FADD32I.FTZ R0, R0, 0.NEG",0x08a0000000000000
"@P0 FADD32I.FTZ R0.CC, R0, 0.NEG",0x08b0000000000000
"@P0 FADD32I.FTZ R0, |R0|, 0",0x08c0000000000000
"@P0 FADD32I.FTZ R0.CC, |R0|, 0",0x08d0000000000000
"@P0 FADD32I.FTZ R0, |R0|, 0.NEG",0x08e0000000000000
"@P0 FADD32I.FTZ R0.CC, |R0|, 0.NEG",0x08f0000000000000
"@P0 FADD32I R0, -R0, 0",0x0900000000000000
"@P0 FADD32I R0.CC, -R0, 0",0x0910000000000000
"@P0 FADD32I R0, -R0, 0.NEG",0x0920000000000000
"@P0 FADD32I R0.CC, -R0, 0.NEG",0x0930000000000000
"@P0 FADD32I R0, -|R0|, 0",0x0940000000000000
"@P0 FADD32I R0.CC, -|R0|, 0",0x0950000000000000
"@P0 FADD32I R0, -|R0|, 0.NEG",0x0960000000000000
"@P0 FADD32I R0.CC, -|R0|, 0.NEG",0x0970000000000000
"@P0 FADD32I.FTZ R0, -R0, 0",0x0980000000000000
"@P0 FADD32I.FTZ R0.CC, -R0, 0",0x0990000000000000
"@P0 FADD32I.FTZ R0, -R0, 0.NEG",0x09a0000000000000
"@P0 FADD32I.FTZ R0.CC, -R0, 0.NEG",0x09b0000000000000
"@P0 FADD32I.FTZ R0, -|R0|, 0",0x09c0000000000000
"@P0 FADD32I.FTZ R0.CC, -|R0|, 0",0x09d0000000000000
"@P0 FADD32I.FTZ R0, -|R0|, 0.NEG",0x09e0000000000000
"@P0 FADD32I.FTZ R0.CC, -|R0|, 0.NEG",0x09f0000000000000
"@P0 FADD32I R0, R0, 0.ABS",0x0a00000000000000
"@P0 FADD32I R0.CC, R0, 0.ABS",0x0a10000000000000
"@P0 FADD32I R0, R0, 0.NEG.ABS",0x0a20000000000000
"@P0 FADD32I R0.CC, R0, 0.NEG.ABS",0x0a30000000000000
"@P0 FADD32I R0, |R0|, 0.ABS",0x0a40000000000000
"@P0 FADD32I R0.CC, |R0|, 0.ABS",0x0a50000000000000
"@P0 FADD32I R0, |R0|, 0.NEG.ABS",0x0a60000000000000
"@P0 FADD32I R0.CC, |R0|, 0.NEG.ABS",0x0a70000000000000
"@P0 FADD32I.FTZ R0, R0, 0.ABS",0x0a80000000000000
"@P0 FADD32I.FTZ R0.CC, R0, 0.ABS",0x0a90000000000000
"@P0 FADD32I.FTZ R0, R0, 0.NEG.ABS",0x0aa0000000000000
"@P0 FADD32I.FTZ R0.CC, R0, 0.NEG.ABS",0x0ab0000000000000
"@P0 FADD32I.FTZ R0, |R0|, 0.ABS",0x0ac0000000000000
"@P0 FADD32I.FTZ R0.CC, |R0|, 0.ABS",0x0ad0000000000000
"@P0 FADD32I.FTZ R0, |R0|, 0.NEG.ABS",0x0ae0000000000000
"@P0 FADD32I.FTZ R0.CC, |R0|, 0.NEG.ABS",0x0af0000000000000
"@P0 FADD32I R0, -R0, 0.ABS",0x0b00000000000000
"@P0 FADD32I R0.CC, -R0, 0.ABS",0x0b10000000000000
"@P0 FADD32I R0, -R0, 0.NEG.ABS",0x0b20000000000000
"@P0 FADD32I R0.CC, -R0, 0.NEG.ABS",0x0b30000000000000
